date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,13:40:30",[  219] ,[ 1440] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1947] *,[   95] ,20250111_134030_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134030_foto_normalized.npy,0.11168,0.11137,0.11074,0.07404,0.07303,0.07219
"2025-01-11,13:40:39",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1950] *,[   95] ,20250111_134039_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134039_foto_normalized.npy,0.11193,0.11199,0.11185,0.074,0.07322,0.07316
"2025-01-11,13:41:47",[  220] ,[ 1440] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  423] ,[ 1946] *,[   95] ,20250111_134147_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134147_foto_normalized.npy,0.11329,0.11261,0.11192,0.07589,0.07414,0.07326
"2025-01-11,13:41:57",[  219] ,[ 1439] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1943] *,[   95] ,20250111_134157_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134157_foto_normalized.npy,0.11312,0.11227,0.11279,0.07549,0.07352,0.07414
"2025-01-11,13:42:04",[  219] ,[ 1438] *,[  764] ,[ 1544] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1940] *,[   95] ,20250111_134204_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134204_foto_normalized.npy,0.11213,0.11173,0.11164,0.07458,0.07305,0.07294
"2025-01-11,13:42:20",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1637] *,[ 1070] *,[  681] ,[  422] ,[ 1943] *,[   95] ,20250111_134220_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134220_foto_normalized.npy,0.11161,0.11159,0.11117,0.07385,0.0729,0.07242
"2025-01-11,13:42:35",[  219] ,[ 1439] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_134235_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134235_foto_normalized.npy,0.11234,0.11117,0.11119,0.07471,0.07247,0.07252
"2025-01-11,13:42:56",[  220] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1946] *,[   95] ,20250111_134256_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134256_foto_normalized.npy,0.11198,0.11255,0.11183,0.07436,0.07416,0.07326
"2025-01-11,13:44:32",[  219] ,[ 1438] *,[  765] ,[ 1545] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1948] *,[   95] ,20250111_134432_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134432_foto_normalized.npy,0.1131,0.11229,0.11197,0.07553,0.07357,0.07332
"2025-01-11,13:44:47",[  219] ,[ 1438] *,[  765] ,[ 1544] *,[ 1636] *,[ 1070] *,[  680] ,[  422] ,[ 1949] *,[   95] ,20250111_134447_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134447_foto_normalized.npy,0.11265,0.11205,0.11228,0.07501,0.07334,0.07384
